Accrobranche,Cinéma ,Histoire
Acrosport,Art de la scène  (théâtre/danse),Voyage
Aérobic,Littérature ,Jeux Vidéos
Aerobic sportive,Musique ,Science
Aéromodélisme,Art visuel (peinture/dessein),Musée
Aérostation,Architecture,Télévision/série
Agility,Scpulture,Autre(s)
Aikido,,
Airsoft,,
Alpinisme,,
Apnée,,
Aqua gym,,
Arts martiaux artistiques,,
Athlétisme,,
Aviation,,
Aviron,,
Baby foot,,
Badminton,,
Ball trap,,
Balle au tambourin,,
Ballet sur glace,,
Bando,,
Base jump,,
Baseball,,
Basket ball,,
Bateau-Dragon,,
Baton défense,,
Beach soccer,,
Beach volley,,
beach-volley;,,
Bébé nageur,,
Biathlon,,
Billard,,
Bloc (escalade),,
BMX,,
Bobsleigh,,
Boccia,,
Bodyboard,,
Boogie Woogie,,
Boomerang,,
Boule lyonnaise,,
Bowling,,
Boxe,,
Boxe américaine,,
Boxe anglaise,,
Boxe chinoise,,
Boxe française,,
Boxe thaïlandaise,,
"Boxe (boxe anglaise, boxe birmane, boxe française, boxe thaïlandaise)",,
Bras de fer,,
Bridge,,
Canne de combat,,
Canne défense,,
Canoë,,
Canoë kayak,,
CANOË SLALOM,,
canoë slalom ;,,
CANOË SPRINT,,
Canoë-kayak,,
Canyoning,,
Canyonisme,,
Capoeira,,
Carrom,,
Catch,,
Cerf volant,,
Chanbara,,
Char à voile,,
Cheerleading,,
Cirque,,
Claquettes,,
Combat,,
Combat libre,,
Combat médiéval,,
Course,,
Course à pied,,
Course d'orientation,,
Cricket,,
Croquet,,
Crosse,,
Crossfit,,
Curling,,
Cyclisme,,
Cyclisme sur piste,,
Cyclisme sur route,,
Cyclo-cross,,
Cyclotourisme,,
Dames,,
Danse,,
Danse africaine,,
Danse classique,,
Danse contemporaine,,
Danse country,,
Danse espagnole,,
Danse indienne,,
Danse jazz,,
Danse modern jazz,,
Danse orientale,,
Danse sur glace,,
Danse (Danse sportive),,
Danses caraïbes,,
Danses de salon,,
Danses latines,,
Danses standards,,
Danses swing,,
Deltaplane,,
Disc Golf,,
Double Dutch,,
Dozen,,
Duathlon,,
Échecs,,
Equitation,,
Escalade,,
Escrime,,
Eveil corporel,,
Fitness,,
Flag,,
Fléchettes,,
Football,,
Football américain,,
Football australien,,
Football gaélique,,
Footing,,
Force athlétique,,
Funboard,,
Futsal,,
Giraviation,,
Glisse,,
Golf,,
Gouren,,
Grappling,,
Gymnastique,,
Gymnastique artistique,,
Gymnastique douce,,
Gymnastique rythmique,,
Hakko-Ryu,,
Haltérophilie,,
Handball,,
Handisport,,
Hapkido,,
Hip hop,,
Hockey,,
Hockey subaquatique,,
Hockey sur gazon,,
Hockey sur glace,,
Horse ball,,
Hurling,,
Iaïdo,,
Javelot tir sur cible,,
Jeet kune do,,
Jetski,,
Jeu de paume,,
Jiu-jitsu brésilien,,
Jodo,,
Jorkyball,,
Joutes,,
Joutes nautiques,,
Judo,,
Ju-Jitsu,,
Ju-Jitsu traditionnel,,
Kali Escrima,,
Kaninhop,,
Karaté,,
Karting,,
Kempo,,
Kendo,,
Kenjutsu,,
Kick boxing,,
Kin ball,,
Kitesurf,,
Kitesurfing,,
Kobudo,,
Krav maga,,
Kung fu,,
Kyudo,,
Lacrosse,,
Lancer de disque,,
Lancer de javelot,,
Lancer de marteau,,
Lancer de poids,,
Laser game,,
Luge,,
Luge de course,,
Luta livre,,
Lutte,,
Lutte contact,,
Lutte gréco-romaine,,
Lutte libre,,
Marathon,,
Marche,,
Marche athlétique,,
Mixed martial art,,
Modélisme,,
Monocycle,,
Moto,,
Moto (cross),,
Moto (endurance),,
Moto (enduro),,
Moto (stunt),,
Moto (trial),,
Moto (vitesse),,
Moto cross,,
Moto enduro,,
Moto vitesse,,
Motoneige,,
Mountainboard,,
Musculation,,
Naban,,
Nage avec palmes,,
Nage en eau vive,,
Naginata,,
Natation,,
NATATION DE MARATHON,,
Natation synchronisée,,
natation ;,,
Nautisme,,
Netball,,
Ninjitsu,,
Nunchaku,,
Omnikin,,
Paddle,,
Padel,,
Paintball,,
Pancrace,,
Parachutisme,,
Paramoteur,,
Parapente,,
Parkour,,
Patinage,,
Patinage artistique,,
Patinage de vitesse,,
Pêche,,
Pêche sous-marine,,
Pêche sportive,,
Pelote basque,,
Penchak Silat,,
Pentathlon,,
Pentathlon moderne,,
Pétanque,,
Peteca,,
Pilates,,
Ping-Pong,,
Planche à voile,,
Plongée,,
Plongeon,,
Plumfoot,,
Polo,,
Qi gong,,
Quad,,
Quiddich,,
Quilles,,
Qwan Ki Do,,
Rafting,,
Ragga,,
Raid,,
Raid nature,,
Rallye,,
Rallye automobile,,
Randonnée,,
Randonnée équestre,,
Randonnée pédestre,,
Raquette à neige,,
Régate,,
Ringuette,,
Rink hockey,,
Rock,,
Rock acrobatique,,
Roller,,
Roller derby,,
Roller in line hockey,,
ROS,,
Rugby,,
Rugby à sept,,
Rugby à XIII,,
Rugby à XV,,
Salsa,,
Samba,,
Sambo,,
Sarbacane,,
Saut à la perche,,
Saut à ski,,
Saut en hauteur,,
Saut en longueur,,
Sauvetage,,
Savate (boxe française),,
Self défense,,
Self Pro Krav,,
Shinty,,
Short track,,
Skateboard,,
Skater hockey,,
Skeleton,,
Ski,,
Ski alpin,,
Ski de fond,,
Ski de randonnée,,
Ski de vitesse,,
Ski nautique,,
Ski nordique,,
Ski telemark,,
Slamball,,
Snowboard,,
Softball,,
Spéléologie,,
SPORTS ÉQUESTRES / DRESSAGE,,
SPORTS ÉQUESTRES CONCOURS COMPLET,,
SPORTS ÉQUESTRES SAUT D'OBSTACLES,,
Squash,,
Sumo,,
Supermotard,,
Surf,,
Tae Bo,,
Taekwondo,,
Taï chi chuan,,
Taï jitsu,,
Taihojutsu,,
Taïso,,
Tambourin,,
Tango,,
Tango argentin,,
Tchoukball,,
Tennis,,
Tennis de table,,
Thaing Bando,,
Tir,,
tir à la carabine ;,,
Tir à l'arc,,
Tir sportif,,
Tir subaquatique,,
Traîneaux,,
Trampoline,,
Triathlon,,
Tricking,,
Triple saut,,
Trottinette,,
Tumbling,,
Twirling baton,,
ULM,,
Ultimate fresbee,,
Unihockey,,
Varappe,,
Vélo,,
VÉLO BMX,,
Viet vo dao,,
Voile,,
Vol à voile,,
Volata,,
Volley ball,,
VOLLEYBALL DE PLAGE,,
Voltige,,
Voltige en cercle,,
VTT,,
Wakeboard,,
Water polo,,
Wing chun,,
Yoga,,
Yoseikan bajutsu,,
Yoseikan budo,,
Zen Hakko Kaï,,
Zumba,,
